x,y
4105,873
9541,2161
9514,2440
9057,6155
1970,9641
2384,445
7091,4664
6268,2130
3105,2580
7852,655
8256,1821
173,8309
6967,7402
4901,6996
47,9807
3876,2113
9669,2013
894,6823
4880,8974
2034,1061
5539,5663
1942,4360
2644,469
5338,8828
5942,8606
2209,7287
8269,8182
7452,8675
4917,4607
900,3999
6258,1317
8767,2327
6784,6406
3933,5407
12,2595
7025,2663
3838,2470
2123,1706
7539,1972
4565,2544
304,4277
2911,5414
7944,8603
5010,3584
5902,9813
1735,6357
801,5784
4652,153
4131,7160
809,5936
6346,5153
7919,5362
2898,4752
7744,2042
8549,3936
1416,296
7372,9981
7341,6912
8066,2338
4189,2187
1812,3307
972,1350
9908,3771
9821,8587
1092,2979
5110,5294
1992,8780
7506,6333
9878,2481
5929,278
5638,9055
4494,8220
1933,238
9564,1318
6929,1732
3815,3111
9299,2646
1730,4126
3216,5513
8305,2508
3599,1651
6031,7880
4570,6786
6779,7599
7464,5453
6855,2539
4940,295
6376,3227
3759,7900
4873,489
9491,487
5253,9544
3056,5761
9948,7002
2205,765
4635,8232
7230,3661
8275,3431
5242,1762
26,211
8268,2755
5636,4457
7204,1681
7695,9167
3695,6402
4304,8116
4120,9282
2274,119
8422,4278
8808,8638
6887,6516
5422,8314
7674,894
7297,5782
8286,5550
541,751
5348,9289
8167,1312
1358,7795
5957,7251
1190,6188
2298,6462
2238,8953
7113,3988
8229,9294
6793,2507
3221,5049
2687,7722
75,9373
6756,7486
3412,7422
7597,814
7443,9463
9336,8833
1118,3286
437,6457
7320,1136
9692,1863
6984,159
9248,221
2271,3569
9995,7708
4123,3507
3880,2218
2625,3493
732,3319
1697,4099
9939,1690
3449,2448
9094,8274
3290,5443
2241,317
5459,3200
7255,4901
9806,277
7798,1820
8915,7111
8144,483
163,7300
591,5596
9126,6414
7800,5494
2010,4867
6541,2145
1627,6301
509,3424
2980,435
8708,8368
1731,1531
7673,6243
8587,9606
8343,1344
2465,1592
8755,9625
9259,4457
4646,969
3137,1232
4530,7499
770,6607
4881,3209
4839,4359
9494,9377
927,7152
9500,220
6744,1237
1586,4339
4908,6972
5722,7893
7661,1744
8056,480
7144,2962
8092,7608
6980,142
5383,3861
9916,9064
8140,2723
7425,505
5557,3141
1785,8043
6960,436
6970,4959
1053,3399
471,60
8571,6300
582,5312
2979,5286
2295,9946
921,5861
9261,5971
7777,9188
8307,8723
1667,690
1780,6106
3291,9294
6378,9762
765,6800
4637,5873
2045,6166
8832,648
7215,8165
9805,8705
1485,6006
2288,8860
9994,5462
3034,2889
6329,1265
7911,6582
8754,6298
6050,6377
7417,4985
2353,7159
2258,8893
1672,2771
9863,1698
1329,7316
641,6034
6428,9256
8436,9396
7934,5253
6158,8749
9169,2828
6756,2890
895,8536
1720,4601
2469,9719
7188,7514
9490,1564
4513,9805
9106,4359
9333,6338
4079,1858
3102,8791
6613,4942
4040,7089
4492,3124
4849,9765
6572,9805
4000,7098
5333,9661
8513,7600
4991,1138
8643,7055
606,7663
436,6554
8048,4831
9897,3248
7955,616
6710,5709
3667,3741
7746,2275
5939,1770
2586,4466
4315,3524
7693,6507
4790,4820
8839,1850
5305,5559
4900,8144
2902,2033
2027,8061
1192,5703
1289,9982
1172,6404
7816,8092
7336,2839
4069,856
1856,7449
3372,9788
1414,7481
6909,6592
9777,3114
2521,9835
2817,2436
4924,5617
5612,3283
1574,1586
5264,8719
4115,3490
5301,6920
217,331
6056,5920
5058,5606
7430,935
8778,8394
9021,9777
9318,5798
6377,3881
1968,6953
6742,6388
8416,9230
2721,3111
4978,69
125,5872
8455,1705
7548,7342
6029,3385
7749,6113
5631,9416
2017,1442
3255,9849
8557,4603
2735,7987
3454,4164
168,6026
8448,5339
86,4476
5728,9670
1051,3697
5497,1479
3659,5547
8431,7996
8813,3024
6923,1793
5307,9150
9839,7152
3072,3633
4463,4787
3802,8398
7785,405
8145,871
546,5660
1382,5717
3817,8059
8646,5990
2806,7695
9482,2733
7703,7038
1668,2532
5788,1455
1308,1778
1741,6708
7805,4914
1259,6418
8646,5509
8297,7934
1253,1285
8700,9095
3046,6718
6772,3436
982,4185
4813,3148
4126,9651
1871,812
7371,4645
8254,5015
925,2167
2634,7556
3933,6115
4816,1461
27,4607
8196,3197
548,5258
1631,8936
1055,662
7629,1059
3288,561
8153,6513
8720,9398
8641,5603
6963,4070
3422,3760
1750,991
4975,4429
9504,3100
5106,1771
8530,8165
4759,4523
1602,2451
3319,7926
2686,9998
6814,5123
1274,457
9739,7011
5012,1083
4897,6489
1144,5714
9357,9851
3012,5699
8159,7949
1417,4011
9343,4024
8014,7013
2941,7087
7480,8566
685,7112
3517,3071
6523,2718
3460,8377
539,5200
7170,1676
4932,2600
6522,4464
8881,9772
7910,6570
8087,4639
8139,9398
5128,7049
1851,648
7548,7328
9741,898
4090,8464
5527,9947
6412,5358
3014,5296
9879,8169
3992,2067
8737,2839
8839,3105
8684,5827
3752,6322
3160,3004
7605,8156
4223,5329
8994,5
802,2269
6081,1817
9408,5882
8270,4159
3571,9650
4685,2781
6943,1415
2242,1994
7774,2781
2508,7321
7666,9551
2461,575
8191,4270
8058,5862
8243,5879
3334,9443
1039,5450
9837,9292
8922,9324
8381,1360
4202,9040
5666,9901
7437,1901
3533,1903
3116,7971
5142,7311
6593,6883
9325,332
5846,4611
3069,5550
237,2757
7053,9551
3938,6126
8030,4240
4215,9148
3132,4575
7731,6128
3882,8484
4315,4759
6276,4434
385,5643
8037,7131
4525,5533
6195,3150
5496,4424
229,6727
5385,5028
9674,9904
8842,1071
6925,7764
6643,884
1148,9624
7379,2065
7333,9711
4207,865
6738,128
6109,2903
1808,6799
131,3295
5921,6265
2978,3978
2,2613
2201,9106
3958,9461
9697,5810
3010,2489
9076,5255
7735,5313
57,3773
6776,5306
4067,3781
712,2828
3657,7086
5400,2044
8812,5267
4106,4147
1684,1114
3722,4139
3211,9909
6729,5085
819,361
4816,3981
7975,8071
6239,2479
6121,319
2341,6535
5322,9771
8359,8079
8286,7700
3125,2271
3697,1798
4740,6846
6059,2637
8536,738
3579,6679
7033,2702
8301,432
1818,4150
2497,2699
505,1337
2266,450
6366,7117
486,3408
7495,6059
3156,1316
8894,6484
2777,2082
3213,6640
3370,1692
9802,5703
1982,8901
9213,1108
9452,1264
9287,7551
7620,122
4617,2813
9081,4060
3973,6046
8777,499
3121,1591
938,9928
9165,965
9811,6145
8799,8177
803,5406
5928,7434
535,3402
5385,3750
8609,2117
613,4922
1205,8935
7290,947
1311,5749
473,4903
6293,2357
2698,3513
1411,9067
5587,1706
2261,6551
6294,8813
546,1078
1281,7966
8364,2789
1524,6719
4021,2969
2609,6540
1013,2015
8517,2229
2244,42
4976,3094
5234,9310
5851,9515
1543,6213
3649,654
4534,8255
8192,6053
7855,4281
3573,1913
4943,2706
4777,482
4919,1004
4508,446
6533,899
3318,8701
715,6268
1822,8463
2546,6741
8855,7514
8571,2393
1485,2649
9049,690
349,2631
4300,199
7,8488
4326,6867
9357,3431
9624,1365
1343,8024
7463,2840
6817,120
2136,4813
4767,5626
7125,9080
3050,7294
8197,2271
3702,3733
7944,5325
6316,9216
3408,9360
9378,3239
4037,3355
5944,5572
6469,4646
2818,7002
4027,6042
205,269
7206,6420
2965,4965
7593,6297
1269,4762
198,135
8884,264
6327,4851
5796,7612
9872,6164
5847,2065
7330,7939
4304,8790
8569,9055
4535,2906
2739,8271
3463,7515
8323,8807
587,8065
9917,7661
1544,6492
579,5207
1533,5771
1018,5726
8632,613
5475,5049
5804,2593
4171,8526
6713,2100
2638,8577
5439,6280
7901,7109
3,749
4605,2394
9481,7371
173,6945
1873,2789
2359,754
3581,3985
5822,4485
3463,8560
4321,2555
2834,7103
227,7294
8727,9252
7131,9638
5542,2041
6855,1003
2581,4154
3546,2795
1787,6888
2290,4863
4596,7101
2557,8111
8628,7000
6886,8448
1540,5103
7348,6789
9077,4217
3088,6482
7740,4223
3851,7813
1214,4840
4029,6013
9346,4731
224,1909
300,4150
4555,9338
5526,8651
6056,5090
6750,2123
2694,6053
1968,3793
902,1214
2850,4200
8341,1203
4127,6721
565,9094
7745,7799
3908,2148
5077,6142
5273,7974
4116,8558
2973,3732
9496,9654
613,5678
5624,1842
2042,9413
4090,1774
6617,803
2138,1426
3407,9309
3031,6684
6616,8729
1367,491
5555,5447
3888,9955
6637,8624
2598,3534
7196,465
9846,8780
9918,8420
6985,2805
948,2304
5029,8327
3917,43
874,4883
7680,4163
7776,1462
6200,5042
1285,8618
9112,9239
1655,3168
9910,6961
92,4222
4835,1938
5766,1361
2162,5181
5935,3658
5448,2799
6992,8692
1562,7856
2816,8892
457,6398
4354,4245
5841,7252
437,5406
7824,7359
291,4053
5652,2081
7905,5419
7802,2985
5813,248
7431,7754
6854,2319
7952,8931
5009,2161
2028,3827
3075,5650
6638,9314
6092,5491
3240,3794
9096,6049
3228,3477
5043,6774
9058,4289
6721,9584
7052,8967
8346,4023
3391,9029
2629,8968
3100,6908
9567,3239
7472,4984
5591,2710
1546,3639
6891,1890
9724,5572
8976,5445
8593,3379
798,2111
5304,8752
551,9100
2362,1664
5551,7175
544,2244
5150,2118
951,9408
5879,6088
4492,7749
4603,7325
6515,7831
4977,2828
1507,8697
3530,3430
1665,4756
285,38
6269,7780
8601,8032
7868,6380
8464,5635
6417,9758
6311,6013
3432,167
5106,9612
4651,2146
2615,2659
6195,9532
7169,7440
7468,2264
7156,3572
5794,4461
739,4639
5305,8807
9560,4857
2456,3047
6602,6772
1306,9677
139,2786
2920,6736
4379,603
5236,3204
5594,880
9277,3502
4056,6466
6626,8339
74,6483
4001,6572
3712,5624
6717,4386
2319,2995
1086,7618
6664,8298
1243,2977
7875,5129
4280,6446
4077,7658
759,397
3037,7346
8580,1407
5438,6578
9119,7706
3223,430
7577,7991
6952,3975
5076,3655
9813,9933
1032,4003
8953,4605
4318,6655
8365,5897
7767,2694
7687,3891
2350,5758
577,5698
6858,6610
2042,6745
7473,3414
9023,6885
4327,9330
9437,5895
3710,2172
9180,3884
947,1425
4439,1950
6368,9586
9607,5206
9109,864
4476,1579
3747,3601
5643,4373
7825,3866
5614,8009
8013,3256
3867,9415
6773,9326
2109,2558
7759,7465
103,8951
4053,8685
5793,2207
7177,2058
3143,371
2644,5009
8116,1593
7747,9963
5773,3189
4181,8989
9780,5728
45,5476
3334,9875
8734,7571
6218,5246
7191,9249
3490,7702
5874,2846
7690,9404
407,6660
4420,3059
8608,7909
1464,937
7156,9334
659,728
9216,3259
3217,1364
4193,6256
9905,6923
9146,210
126,8576
7619,261
9534,8602
2026,2420
3952,6647
4900,8862
6541,500
2858,5739
7874,862
4107,8102
252,628
6436,5601
6703,7514
3838,4240
2676,8183
606,7196
2196,1311
7983,4269
9976,49
240,4074
6807,7432
2853,1298
3211,4646
1181,215
3012,6416
4915,3638
9538,7218
7860,6902
2070,7670
2446,5898
2830,8416
1394,4296
5503,6373
1651,8328
9648,2085
4060,2069
1605,3801
8694,8673
6486,139
4262,5300
7965,7707
8460,9705
7867,2000
9908,7174
8090,9392
5210,4535
1317,1187
7997,8188
3376,6043
3621,7624
5971,9524
2525,709
7495,2049
8340,7078
2632,4592
6483,500
2448,388
1383,8643
9576,1309
4540,7361
192,5035
2416,2205
7027,9518
8800,2456
6055,2418
7219,3284
4577,422
6438,4755
6176,7090
5438,3678
4351,975
153,6907
8376,903
1023,4169
9586,4734
3866,9734
430,7391
8804,8293
5422,9193
5611,2388
653,6942
8732,6923
9379,7696
9156,7730
2690,5321
4962,3637
1222,1520
2833,9409
3551,4705
7690,1402
5642,9232
4805,2608
1338,7626
469,9718
5386,818
9200,9930
8665,1951
3313,2048
6460,4165
5121,7181
1665,8058
2007,4966
74,4406
4187,1561
3596,1427
480,8306
2521,428
4643,6834
6320,2024
5692,3562
5211,520
2618,1419
112,2706
5858,3677
5625,6458
5844,8637
2692,7169
1145,2439
6088,6303
5144,9311
4589,2758
6327,5515
6392,466
3290,4172
8439,531
5362,6244
7806,8220
1101,2153
2815,6827
3457,755
9376,5269
4299,3229
5701,5418
3719,478
274,4353
5459,9494
8796,8952
8196,5565
7729,5538
1210,6951
8447,3401
4553,2809
8436,7398
734,2617
3511,4662
1223,6261
4128,7868
9841,385
3391,6957
4100,1882
2515,2870
2277,5696
5428,7922
6893,6027
7880,5268
972,3045
1264,3352
4259,5970
6438,9609
5632,2148
5732,7533
2475,2197
3679,3816
3918,3961
1156,6057
4167,8787
3435,1632
5814,4852
9479,6628
6168,5539
6757,8844
1588,8288
3609,6156
6390,4384
2428,722
382,4028
5864,379
7715,277
9506,1811
209,930
8294,3661
7036,9505
6199,9560
3755,4365
5660,3292
6265,2983
2689,904
6796,9370
58,2690
6144,4359
7624,8188
5030,3618
8043,7011
591,7244
4899,4240
8000,2288
2602,5009
1443,5264
9403,6301
9130,6682
836,5971
4184,2062
5697,1216
1461,9554
5986,1146
2993,5930
1228,619
2406,3318
3993,1316
1818,9596
6705,9064
9781,8486
8605,7895
7552,1948
3911,311
7295,9446
7310,4121
5356,4876
2342,8597
6537,1542
2577,1376
2701,3363
7432,8285
7676,4557
375,625
3473,8701
5532,172
1316,4752
3692,4182
8026,460
1625,1108
7425,1425
5975,4573
7714,4572
4256,437
13,3917
7841,4197
1962,4830
2867,8060
8566,7389
4903,3403
4490,8019
8245,4224
5278,28
2298,9555
8231,6543
4477,2192
8279,8662
360,8419
4410,8504
9809,4594
6195,9123
7461,7941
7737,8905
2381,8277
7196,4974
2864,2692
2892,878
5007,1805
4609,3862
4695,6806
345,8868
2838,8683
9152,8026
3823,4918
9750,2482
7277,6808
3026,7425
8470,2164
4048,9510
5449,7899
6804,4462
8341,7682
9312,4325
6981,789
7814,7109
1371,2818
9058,6165
8334,76
2536,7654
6069,5631
8230,1396
1770,8485
3716,4255
1899,7355
441,895
9621,2913
2105,8095
6304,6345
4624,3389
5791,7218
2232,2363
9100,6311
4233,2329
4,7983
8900,1420
7080,4234
2607,3287
880,1346
6379,7308
9196,2466
4926,2814
1874,2114
7859,3335
767,4113
5473,1549
3763,5743
7033,3633
2724,5648
3530,3147
3513,8132
9348,3768
2329,6152
9337,5951
5633,318
9580,7192
9915,3632
4242,4164
434,4677
2332,295
7300,8602
1155,4977
5246,4432
8754,3080
2929,9891
3697,5994
3212,5032
2756,9
8675,2426
1412,8061
9402,5608
2804,615
9931,7237
5984,4918
9266,4379
2459,8897
920,6696
2674,1961
1993,7041
4986,4857
8416,7534
8817,5961
7824,6053
2070,6788
2431,6670
9418,1359
6417,8728
3267,5510
1194,2067
9676,7913
2545,4731
9978,5370
8355,349
6484,837
8964,4109
2517,1682
8291,5210
9140,3214
3999,5075
7643,3688
4939,4848
4206,8511
5732,8305
6590,1335
410,8755
6629,8478
8642,1586
3243,7898
3941,1937
1806,9196
1976,4815
2451,9042
9963,9837
2343,2543
3122,6424
6606,3330
873,5235
555,1575
6250,7161
4329,9540
6933,8669
8269,9341
273,1857
9151,416
3784,809
6350,8622
2017,3926
6519,4160
8914,3614
6537,4479
9781,4255
6177,8483
428,8683
3938,9680
9027,1456
4890,7606
6385,3824
4745,4982
7152,3232
5840,5375
7751,796
3652,3772
8431,67
5720,7975
1907,9719
3562,6615
9844,1749
4376,7544
4029,5529
1994,4765
3700,7715
3364,1853
2286,7103
6517,8778
5856,3014
2389,6042
4581,2461
9537,7398
8890,1284
6309,4546
6445,3706
4190,742
7201,5292
2030,5495
5860,1018
9346,6238
7600,4721
918,9758
7433,6091
9580,4299
5292,8407
8992,7938
3842,8100
696,9442
7059,9649
9749,5427
3053,8444
6113,2270
8224,7726
7757,8489
6890,9300
2047,7644
7526,7766
7061,9151
4620,8106
7635,349
6179,8142
1035,792
1532,4477
8933,6150
1774,1934
1866,3133
3178,7077
6401,1124
273,1077
2220,7127
4543,3285
2718,4750
4944,3867
6023,970
6721,3332
5094,1519
7239,3983
4247,4943
1789,3537
6322,3718
8593,6209
7907,9472
6873,9055
2078,2823
3321,5330
7152,2187
6719,8798
6631,1987
2823,9518
4149,5171
6800,593
8014,245
9812,2964
5948,7103
8843,358
5756,9360
4694,4942
306,1391
9602,2134
9430,1081
8506,1651
8666,1408
1431,5534
7053,676
6190,1374
322,8017
2894,1097
1526,5250
861,4997
6838,2754
7135,218
1087,2788
7736,167
2493,4343
4196,5183
2143,6471
2095,306
9340,2196
8008,6003
9487,2075
8430,880
3390,3974
8259,772
3777,9310
9301,172
9335,2017
3604,7956
2227,3317
2293,6723
3608,62
6393,3198
4766,5652
854,2048
3712,6780
3194,8522
82,1958
8021,7066
1989,8936
3441,4496
8289,8561
316,4792
1050,2857
4907,5489
5283,2636
1953,583
9745,235
1422,439
7537,6517
3370,2044
3174,856
5168,9888
8905,4363
3972,6868
907,3958
2545,9351
9524,317
7109,4390
7509,4249
2062,3583
5116,942
646,769
4988,2641
2986,5230
6772,7776
8730,6363
9806,8058
6578,3002
1736,9870
6671,9726
9688,1195
9144,9683
110,6058
1030,3836
5320,3725
1854,2111
2777,7806
5383,71
5093,8522
3800,6190
1794,9778
1254,282
6966,2231
8821,4944
7901,9591
3466,8521
9734,2231
6146,9620
8492,8684
1750,1724
6912,8714
3827,7379
8578,1761
300,5842
4064,4927
8699,7917
9892,8697
8471,8617
8197,9489
693,6597
2496,9218
6075,7138
196,6060
5501,4107
7648,858
1301,8016
19,5869
8684,4548
4168,4147
4232,8479
505,755
1936,745
3863,6437
2331,801
2951,9471
7957,944
881,7552
9613,5175
3937,3085
1412,1226
2584,6410
4475,5408
2222,2214
8612,4555
870,905
2547,4288
9504,2206
5583,3702
3052,8706
6595,4302
1532,8430
9887,4999
2077,2034
8597,2520
3073,9963
136,815
8012,3707
5176,6260
6418,4346
6895,2137
8618,6965
6006,9896
1346,7843
7773,8820
9347,576
5955,8062
3655,9919
3790,3412
3208,5834
4841,5739
1314,871
9722,6932
9939,5527
2375,6407
3731,5173
570,3168
6372,6227
8786,2715
1673,9454
8550,3364
3172,3378
6588,9361
2178,7195
1975,3378
8700,9994
5565,2244
83,1911
7728,9466
2849,2730
9174,9988
7291,1835
6876,3619
5355,1141
494,1733
7840,6229
483,1753
7129,1825
6564,6456
5316,260
2609,226
893,289
2574,5904
9824,4282
4709,1345
5017,6477
7715,5357
6452,7358
6919,5506
8223,3278
1265,4842
3255,3264
4852,2048
8891,5468
1317,2937
737,5571
8318,2365
9142,1789
3599,5335
6549,5962
1579,1717
1284,759
7062,5274
5563,2186
9544,8771
4806,9321
3444,9246
2605,2073
8068,8582
3548,9972
6946,6169
5546,3190
4567,728
5156,5843
3387,5276
6275,5735
1351,130
9212,9959
1114,9464
6721,5328
8422,9971
3192,5548
856,9743
8019,8218
6166,3835
4481,8864
6932,8023
4106,1138
9937,5284
8311,3498
7021,9701
6782,8285
9764,2375
5528,5928
5729,31
8124,2963
4279,3735
2381,3172
6689,8295
6257,5157
4981,7
5252,2257
7036,5496
8271,2546
1323,996
122,1163
246,2914
7723,8297
146,2049
5599,2037
9390,8918
2349,2875
6666,6340
8995,5582
5892,8561
196,7601
6690,2120
8743,5725
9759,8349
9049,2377
7871,9456
4412,8513
3878,6111
2336,7761
453,6392
5832,7435
6799,5688
3547,5400
130,6642
4679,8297
638,6538
3412,1737
3948,5665
2795,3839
8849,1299
198,8304
985,720
248,3396
7021,2659
6863,7723
2314,8442
3551,2926
8096,7762
8860,3269
9438,3350
7287,78
9741,1759
8060,9435
8599,1834
8236,3440
6545,3549
9619,5317
9047,5684
5940,4532
4624,4569
4263,5532
541,1073
5949,6283
7090,2926
8596,7845
3305,4984
5880,9935
540,3240
9177,4259
5817,6700
245,857
9614,3827
4889,4831
4060,8526
197,4223
8065,6441
9567,4628
4417,6136
6387,3168
5349,7473
9984,618
7060,4002
8776,4642
7504,2159
9723,7452
5835,6663
5698,761
8843,8784
5413,319
3186,8930
8811,5774
8260,2082
5187,6583
941,758
372,5961
3692,4956
3650,2668
2517,5890
2467,5618
4327,1469
9312,4630
3171,7540
58,9278
864,2202
4736,7378
6895,2260
7731,356
6138,8044
1074,2998
9079,8444
8960,6557
4138,2784
4442,8324
7885,3320
7129,2778
9430,542
3632,872
1730,3953
8646,4545
493,611
649,7929
5919,9932
3800,8270
476,6648
5586,2729
9565,3730
1191,7861
2477,2934
4577,3457
6714,5439
8180,9418
8288,8105
7448,807
4895,8413
3642,189
673,9456
2421,368
1395,7068
8018,3643
5604,6033
76,6815
3824,8652
2258,2583
8167,3965
5830,8209
3894,3985
1694,5726
8749,5334
3822,4625
3139,2096
2158,5077
1162,6290
8938,8901
2037,8976
3754,2191
2996,6393
9196,7253
4361,4387
2577,9289
9754,8142
6171,4570
1654,8443
9964,3714
5803,1776
3013,2050
9898,6534
7961,9339
908,9296
6711,1652
7129,79
9174,7484
4230,8978
9990,5312
5349,4196
4351,9807
1219,483
9411,1099
3159,460
4521,5837
1838,9463
4788,1140
4998,3186
6416,6045
8615,3347
7008,1209
4661,6507
4578,8575
9437,3720
7933,7745
3693,6452
8033,8028
1046,3373
3544,1182
5031,865
2737,1246
8248,661
3807,5660
9414,9661
6257,2531
431,6822
2553,4247
8108,82
5508,1309
6761,4787
6906,5822
8105,2339
9011,6327
459,2749
6299,5973
32,2158
7642,8360
6576,9266
6271,9442
6562,3678
4709,2340
2054,9444
8708,2636
1632,8379
7329,6644
7737,6518
6346,9269
9321,7582
8876,7953
9000,6700
5147,2699
6522,9754
8970,3967
1275,8680
6199,7319
9149,6128
7792,523
7582,7843
1486,3005
2749,2198
4392,2200
397,7305
7317,7331
6035,781
2081,202
8881,5597
2773,2950
7073,2304
3803,1621
4820,9336
9291,7421
9409,6344
6528,7136
4465,7014
1943,6314
1728,5243
6077,4738
1311,403
4400,9692
171,7870
1623,2690
1452,8400
1771,875
8304,1691
848,2683
9227,5960
8253,8912
1602,2613
6167,7221
4606,1832
4076,9245
1708,7024
3253,2922
6506,4870
4198,4165
306,2812
7648,4963
2022,8649
2965,1469
1974,4549
5233,4774
4998,6011
9869,6781
5009,4301
8043,4557
6356,6997
9237,2557
3717,6673
1639,406
9419,7793
3379,1947
8913,7133
1902,4929
400,9784
2832,190
9773,4064
6377,9694
9598,9767
446,5388
4738,7482
5824,2982
4059,3568
2721,6416
2289,1970
9438,7182
287,1788
1692,2950
4307,7786
3185,4553
7724,143
3594,5199
1379,8271
6249,8334
4479,393
1447,9620
8994,2007
9264,3414
4498,279
4544,7180
1821,6650
3197,9431
5923,5293
4910,1092
4117,6243
6056,7982
6583,7218
7156,377
6132,2970
2376,6913
2345,2605
5320,4066
9727,5115
7783,9646
6299,2574
5378,8261
3005,3604
5645,1101
3259,8708
7486,2496
4091,5707
3881,7
5494,7896
6966,3949
7821,1827
2209,4197
7873,6081
8081,1172
877,6946
6528,4002
466,248
3169,150
5803,7232
2675,9338
6820,3752
2530,1825
9652,2785
5301,7238
9834,6331
5786,5686
6280,3371
2922,4938
2254,9780
208,3528
3835,4871
8589,1042
3090,2230
9426,1399
4812,3948
7235,7699
8185,94
317,6613
5347,7760
8038,726
9144,9577
2937,1686
6009,1493
4583,3220
5772,9813
3923,8046
4804,7334
3817,8900
2828,2415
2852,1460
112,8378
6737,2681
1432,8152
7649,3337
7585,4251
2256,931
1517,7603
5592,8988
4166,3652
9457,7174
9171,3185
4311,9397
4291,3403
3051,4856
1525,1626
9976,1966
3666,6839
626,4426
7457,1838
3398,2009
3779,545
9614,3122
6322,5741
5000,2065
7182,9437
1322,7825
4986,6027
9036,8075
6963,8882
1048,9260
9794,9376
583,6568
8649,767
7983,8630
3595,8777
2117,7471
4573,1637
2084,4492
